id_unique;objet;categorie_finale
8VQ59GWRC6;evaluation  du point de vue du developpement durable  des operations d'amenagement urbain a paris;urbanité-transports
VKBGJIM5HA;mission d'evaluation et d'elaboration du programme local de l'habitat incluant une demarche approche environnementale de l'urbanisme a offranville;environnement
8SPGR7QNIR;evaluation des benefices d'une mobilite internationale sur l'insertion professionnelle et sur l'activite des entreprises regionales;fiscalité-économie
2S8LNH35HI;evaluation du reseau pluridisciplinaire de territoire bien etre et sante en baie a caen;santé
HPAW7FVILL;evaluation environnementale du projet de charte du parc national de la reunion a saint denis;environnement
Q56ZB9WG96;le marche a pour objet la realisation d'une mission d'evaluation  de conseil et d'assistance sur les aides apportees par la ville de dreux aux associations sportives ;social
8XICJ5TBOI;etude evaluative de la politique familiale jeunesse : experimentations adolescents pour le cnaf a paris;social
A52EDX2AYK;evaluation du processus de relogement ou de non relogement des menages ayant recu une reponse positive de la part des commissions de mediation suite a leur demande de logement a paris;logement
4CTCVRSSZQ;action experimentale d'accompagnement des instituts de formation du secteur sanitaire et social sur la thematique  evaluation du projet pedagogique  a lille;social
2FFXKIJD1B;prestations intellectuelles pour realisation de l'evaluation environnementale du projet de plu de la commune de sainte tulle ;environnement
9T5G8PKFN8;evaluation environnementale et appui a l'elaboration des scenarios et a la determination d'une strategie globale du sage vistre  nappes vistrenque et costieres;environnement
Y8GB8N4STF;realisation de formations a l'evaluation des politiques publiques d'aide au developpement et a l'evaluation des projets de cooperation;social
MOL2F4HYR0;mise en place des moyens de mesure ou d'evaluation des prelevements et des rejets d'eau pour l'alimentation en eau de canaux pour le compte de vnf a paris;environnement
JRNYGIM444;mission d'assistance a l'elaboration de l'evaluation du contrat urbain de cohesion sociale 2007 2009 du gpv de venissieux  a venissieux cedex;social
TE353E73CZ;etudes  realisation et experimentation de traitements de fusion de l'information et du renseignement multi sources futhane   fusion technique de haut niveau et evaluation a bagneux;environnement
P597355WL5;evaluation de la cooperation franco marocaine autour de la mise en place de la couverture medicale de base ;santé
923ITZJQU1;etude d'evaluation qualitative des travaux d'amenagement du lido du petit et du grand travers 34;urbanité-transports
16H5EQ5MG0;mission d'accompagnement pour l'evaluation du contrat urbain de cohesion sociale cucs de l'agglomeration clermontoise;social
TP2P0RVPSQ;realisation de l'evaluation finale du projet fsp03 56  echel eau applications aux bassins du limpopo  du mekong et du niger : ;environnement
NQ9G3WHCY0;etude portant sur l'evaluation du relogement des menages du 8 10 12 rue gaston monmousseau quartier pierre semard a saint denis 93 a saint denis;environnement
CT2Q9CGVYB;evaluation du projet urbain de cohesion sociale;social
IFEPTSCYCH;realisation d'une etude evaluation portant sur les experiences de mutualisation d'emplois culturels en aquitaine;emploi-insertion
RQHW26ICKV;prestation de formation action et accompagnement d'une auto evaluation des ecoles et des centres de formation de l'ap hp;éducation-recherche
ZI5Y7LVUX4;etude clinique portant sur un programme hospitalier de recherche clinique phrc intitule  evaluation de l'impact de la reanimation sur des pathologies ciblees   aom04056 a paris cedex 04;santé
XZOU9TAM18;evaluation du contrat urbain de cohesion sociale de l'agglomeration nantaise ;social
LWALCNV2IJ;evaluation du cper 2007 2013 en lien avec le programme operationnel feder   definition et mise en oeuvre du programme et de methodologie et assistance a la mise en oeuvre ;social
WAEEB2ZU5U;evaluation du contrat urbain de cohesion sociale 2007 2009 a quimper cedex;social
OAEGP13BCT;evaluation de la convention triennale de partenariat et de financement 2007 2009 signee par l'asso  agence culturelle d'alsace aca  les departements du bas rhin et du haut rhin et la region alsace;culture
58PX3506DH;marche de prestations intellectuelles relatif a l'evaluation des organismes et reseaux du massif central a limoges;environnement
AHNPACP3BH;evaluation des cartes de maladies rares;santé
0QC4EW8UX5;mission d'assistance a l'elaboration de l'evaluation du contrat urbain de cohesion sociale 2007 2009 du gpv de venissieux  a venissieux cedex;social
AEYAQVBMVY;la consultation a pour objet l'evaluation de la mise en oeuvre du plan regionale de sante publique d'ile de france qui couvre la periode 2006 a 2010 ;santé
NL6AWATQFR;assistance a la mise en oeuvre de jurys citoyens pour l'evaluation de l'action regionale en matiere d'aides aux entreprises et aux entrepreneurs  et de mobilite et transports;fiscalité-économie
ZLTU8M60N5;evaluation de la convention triennale 2006 2008 passee entre le departement et la chambre d'agriculture d'ille et vilaine;environnement
NU034EB3FK;missions d'assistance pour le suivi et l'evaluation de la zone franche urbaine a reims;urbanité-transports
KSISZX59DA;organisation du seminaire national papi : evaluation et mise en oeuvre d'un nouveau dispositif   le 18 11 09 a paris au museum national d'histoire naturelle;environnement
2V3LZ8WPXT;evaluation de la fonction linge d un etablissement pour personnes agees du centre communal d action sociale a toulon;social
CXYAECZYAA;evaluation du dispositif relatif a la creation des postes d'intervenants sociaux en services de police et groupements de gendarmerie a saint denis la plaine;justice-défense
6TCY1EIIM6;evaluation environnementale du scot du pays de chalons en champagne a chalons en champagne;environnement
CI945NGBEG;suivi evaluatif de la politique regionale d'achat et de renovation de materiel roulant ferroviaire de la region rhone alpes a charbonnieres les bains;logement
4O8XPLU4F6;enqete  evaluation et restitution des interventions financees et conduites par l'acse en faveur du lien social a paris;social
IUDETN4Z51;caracterisation et evaluation des parametres hydromorphologiques des lagunes du bassin rhone mediterranee et corse dans le cadre de la dce  pour l'agence eau rhone mediterranee et corse;environnement
HWISYKDHJX;evaluation et capitalisation de l'accord cadre et des marches engages en 2007 et en 2008  formation sur la prevention et lutte contre les discriminations pour l'egalite  pour l'ancse a paris;fiscalité-économie
78M1CVGXCB;evaluation prealable en vue de la passation de contrats de partenariat pour la construction et la maintenance de 4 colleges a metz;éducation-recherche
G3UI4IAYW7;appel a projet : creation de deux centres locaux d'information et de coordination c l i c  de niveau 2 evaluation des besoins et elaboration d'un plan d'aide a charleville mezieres;santé
UVAKMWHAAI;etude d'evaluation environnementale des orientations d'amenagement du plan de sauvegarde et de mise en valeur du secteur sauvegarde a beziers cedex;environnement
RXXWF59H02;evaluation d'un programme d'actions menees aupres des services de medecine du travail en ile de france axees sur la prevention et la prise en compte du risque cancerogene dans les entreprise;fiscalité-économie
JALX3SMVWY;evaluation du dispositif relatif a la mise en oeuvre du civis en faveur des jeunes places sous main de justice a saint denis la plaine;justice-défense
IGCM3V3JWB;creation d'un centre local d'information et de coordination  c l i c  de niveau 2 evaluation des besoins et elaboration d'un plan d'aide a charleville mezieres;santé
95GK3BFS94;aide a l'evaluation financiere de l'indemnisation suite a la resiliation d'un bail commercial et a la relocalisation de la banque alimentaire du rhone;social
9DHPQI33SH;prestation d'etude sur l'evaluation du volet formation du plan regional d'appui a la transmission d'entreprise en aquitaine;fiscalité-économie
IUC6K7JBGI;realisation d'une enquete de satisfaction des prestations fournies par le gip spsi a son reseau et evaluation des attentes;environnement
YA58EAOOZH;etude sur les besoins en personnel des colleges du morbihan et creation d'une base de donnees informatique permettant l'evaluation des effectifs a mettre en place a vannes;santé
NUQ6DQ86ZR;evaluation des couts des projets profils pour trois types d'operations de rehabilitation lourde  pour l'agence nationale de l'habitat a paris;logement
I24XWCECCH;evaluation environnementale du scot de l'odet a quimper;environnement
6HKMTVBV43;evaluation du contrat urbain de cohesion sociale de l'agglomeration du calaisis a calais;social
VHDQIM9XIN;mission d'evaluation de la fonction tete de reseau de l'apca a paris;environnement
AAYDB1GORB;realisation d'une mission d'evaluation du dispositif contrat urbain de cohesion sociale c u c s  de la ville de langres pour la periode 2007 2009;social
0PWSGC70VB;mission de conseil en programmation culturelle et d'evaluation des equipements culturels de la ville de saint dizier  a saint dizier cedex;culture
PTP8BF4OJ7;evaluation du 5eme plan local d'habitat du grand nancy a nancy;logement
JFFWMCF7LU;evaluation des programmes de cooperation decentralisee menes par lille metropole communaute urbaine au liban pour la periode 2005 a 2008;social
X6LJPIOU8S;realisation d'une prestation d'assistance au comite d'evaluation du conseil general de l'environnement et du developpement durable cgedd a la defense;environnement
EDYHGLY2SX;evaluation des exonerations de charges sociales et fiscales liees a des projets d'implantations d'entreprises dans le departement des ardennes a charleville mezieres;fiscalité-économie
69XCR50PE3;realisation d'enquetes pour l'evaluation economique des benefices associes au bon etat des masses d'eau a orleans;environnement
RPYJ09NVPT;mission d'evaluation du  plan pme outre mer   volets competitivite  innovation et acces aux financements pour le compte du ministere charge de l'outre mer a paris;fiscalité-économie
R9TXDAUC8M;evaluation des actions du plan de relance pour l'habitat prive au profit de l'anah;logement
03IEWXEMC1;evaluation du contrat de developpement de pays rhone alpes et elaboration du prochain projet territorial de developpement durable des pays du forez a champdieu;environnement
XAXUWUMW5B;mission d'evaluation d'aide economique du conseil regional de picardie : l'aide au recrutement de cadres   la description detaillee des prestations  objet du present marche  est definie;social
FB3DCTBZFB;mission d'evaluation de la mise en oeuvre a mi parcours de la delegation des aides a la pierre 2006 2008 sur le territoire de delegation du departement du loiret;social
Q3YUVO7LUO;etude sur les quartiers durables en basse normandie : etat des lieux  referentiel  faisabilite  suivi  evaluation et preconisations a caen;environnement
0E1GC08D1B;evaluation de l'axe culture de 4 contrats communautaires de developpement et l'elaboration de preconisations d'evolution pour le compte du conseil general a pau;culture
L1KUNZJ9ER;evaluation du contrat de projets etat region et du programme operationnel competitivite regionale et emploi feder relative a l'egalite entre les femmes et les hommes en region franche comte;emploi-insertion
1GVWEV2WRH;organisation de l'evaluation du programme departemental d'insertion et de la participation des allocataires du rsa au dispositif d'insertion parisien ;emploi-insertion
JMFCF7S7Q2;etat initial de l'environnement et evaluation environnementale;environnement
Q432DYCIU3;etude impact rip  etude portant sur l'evaluation de l'impact territorial des reseaux de communication electronique d'initiative publique paris;environnement
H158K9ABLH;mission d'assistance a maitrise d'ouvrage pour l'evaluation et la faisabilite financiere du projet urbain du pole d'echanges multimodal de toulouse matabiau;urbanité-transports
1GU0JQAQC4;mission d'etude sur l'etat initial de l'environnement et l'evaluation environnementale du scot du pays d'aix a aix en provence;environnement
A97GVPZYJW;mise en application du modele crt d'evaluation de l'impact economique et socioculturel des musees du nord pas de calais a lille;culture
6KNVNZ6YE9;evaluation prealable a l'emploi des beneficiaires du rsa a nantes;emploi-insertion
SLFIENKUAP;realisation d'une etude complementaire de l'evaluation environnementale du plu;environnement
FUIME6VYNC;evaluation du contrat urbain de cohesion sociale 2007 2009 et elaboration du futur contrat 2011 2013  a montfermeil;social
RHGRGIW1KT;evaluation du plan regional de sante publique en midi pyrenees a toulouse cedex 9;santé
7PB88Y1FYD;evaluation de la fonction sociale et educative de l'animation sportive municipale  a nantes cedex 1;social
WL5CT269C1;etude du cadre de fonctionnement de la police municipale de la ville de nancy et l'evaluation de son organisation;justice-défense
D2SF1TOZ3Q;evaluation de la valorisation des resultats de la recherche publique et ou privee au profit des entreprises et en particulier des pme tpe a caen;fiscalité-économie
6AWTL8HTW9;elaboration de fiches d'information sur les sites en auvergne dans le cadre de l'aide a l'evaluation des incidences natura 2000 a clermont ferrand cedex;social
3G0APQ99IO;bilan d'evaluation et d'orientation professionnelle a epinal;emploi-insertion
4J9LTQG8O5;mission d'evaluation environnementale du schema de coherence territoriale scot de la communaute de communes de la presqu'ile de rhuys a sarzeau;environnement
UX3827YMYB;evaluation des ressources educatives en ligne dans les lycees picards;éducation-recherche
B5HOMY4JYR;le present marche a pour objet la realisation de l'evaluation de la charte de conditionnalite des aides aux entreprises mise en place par la region des pays de la loire ;fiscalité-économie
XIAEVGXL1R;evaluation finale du plan de deplacements urbains de l'agglomeration nantaise;urbanité-transports
4SE6XFSFXZ;evaluation de la conformite du traitement des appels par le dispositif de renseignement administratif  asp 39 39  et des courriels sur service public fr a paris cedex 07;éducation-recherche
7Z1DJS321L;plan local d'urbanisme   evaluation des incidences du document d'urbanisme sur l'environnement;urbanité-transports
IOQ6DXW7S9;mission d'evaluation des charges de travail dans les services du departement de la sarthe au mans;emploi-insertion
3MYZGS0CX3;evaluation du reseau de sante d'hematologie et d'oncologie pediatrique pour le compte de la mission regionale de sante de la region provence alpes cote d'azur a marseille;santé
JS78FBHWCD;evaluation environnementale dans le cadre du plu  a avignon cedex 09;environnement
LXVCKT7U8O;mission d'accompagnement a l'evaluation du contrat urbain et du projet urbain de cohesion sociale de l'agglomeration dijonnaise a dijon;social
ACUM1HSO96;evaluation du contrat urbain de cohesion sociale d'angers  trelaze et de l'agglomeration 2007 2009   le contrat urbain de cohesion sociale cucs d'angers  trelaze et d'agglomerati;social
GERR49TDJR;evaluation du plan regional de sante publique prsp de champagne ardenne a chalons en champagne;santé
Q68Z6W9T0H;evaluation de l'impact de la mise en oeuvre de l'oru sur les habitants et accompagnement social des proprietaires concernes par la d u p  a deuil la barre;social
10D7V0XAQT;evaluation du pole regional d'education et de formation au cinema et a l'audiovisuel en aquitaine   bordeaux;environnement
UOOARX5KUS;evaluation du contrat urbain de cohesion sociale;social
2MIFKZH4SY;evaluation du dispositif cheque livre lyceen;éducation-recherche
037DZNYHGA;evaluation de la prise en consideration de l'egalite des chances entre les femmes et les hommes comme priorite transversale dans le cadre du po feder et du cper de basse normandie 2007 2013;emploi-insertion
967R6P995O;audit d'evaluation de performance et de conseil sur le dispositif d'aide sociale d'aulnay sous bois  a aulnay sous bois cedex;social
F26T1SJ0TR;mission d'accompagnement de la mission t2a dans l'appui a l'evaluation et a l'optimisation des processus de codage de l'information medicale des 3 ch de guyane;santé
7FWAW7VJVH;mission d'evaluation a mi parcours du programme local de l'habitat et de la delegation de competences des aides a la pierre sur laval agglomeration;social
E3P8C6JXXE;mise en oeuvre de la revision du plu   realisation d'une evaluation environnementale a raimbeaucourt;environnement
IOSE8Z1FDF;assistance a l'evaluation du projet du centre social georges brassens a beziers cedex;social
5TIDLLA56A;etude d'evaluation de la cooperation decentralisee entre la communaute d'agglomeration de cergy pontoise et la ville de porto novo;social
S24Q4YFYBI;evaluation de l'aide regionale aux internes en medecine generale ;santé
ZDV7OXG2SA;evaluation des projets de developpement presentes par des entreprises dans le cadre des aides economiques du conseil general des vosges  a epinal;fiscalité-économie
GUQWSXW436;etude d'evaluation des moyens d'insertion sur le territoire et proposition d'organisation nouvelle a ronchin;emploi-insertion
EY3O3HJ8ML;evaluation relative a la mobilisation des aides aux actions collectives par les filieres economiques;social
FIV1R109FH;etudes en 4 phases definies comme suit :1: evaluation initiale  2: evaluation de la strategie  3: evaluation des objectifs 4: rapport final de l'evaluation ex ante et environnementale a rouen;environnement
LFM24N6OMP;etude d'evaluation des incidences natura 2000 dans le cadre de la mise en oeuvre de la servitude de passage des pietons sur le littoral sur la commune de concarneau a quimper;environnement
8GYBFYBNAK;etude d'evaluation environnementale du 4eme programme d'action nitrates dans les departements 54  55  57 88;environnement
DBOMDV4PZ2;mise a jour de l'evaluation environnementale des schemas d'amenagement et de gestion des eauxdu bassin rhone mediterranee et du bassin de corse a lyon;environnement
9DBW7402XQ;mission d'evaluation environnementale du schema de coherence territoriale scot de la communaute de communes de la presqu'ile de rhuys a sarzeau;environnement
EKWAWB3K55;developpement de modules collectifs d'evaluation pour les porteurs de projet de creation d'entreprises a privas cedex;fiscalité-économie
5PF2CA3D1F;assistance a maitrise d'ouvrage pour l'evaluation du contrat urbain de cohesion sociale et proposition d'outils d'evaluation   pi10006 a lens;social
K8GEFG7DSF;prestations d'evaluation sociale des familles faisant l'objet d'une procedure d'expulsion a epinay sur seine;social
7MMV7PT0D0;dans le cadre de recrutement  de l'evaluation d'agents en difficulte ou en vue d'un changement d'affectation  l'e p d s a e recherche un consultant ;emploi-insertion
BJH093JR14;evaluation du dispositif communautaire 2007 2011: programme d'interet general  lutte contre le mal logement et promotion des moyers maitrises et de l'habitat durable au sein du parc prive a bordeaux;environnement
P9CD4ZZHA4;evaluation du dispositif activites nouvelles et nouvelles competences a rouen;emploi-insertion
T3TZMTGGUK;etude de faisabilite technique et evaluation des couts d'equipement des projets d'operations d'amenagement a bordeaux;environnement
Q22MZWWQK2;elaboration du dossier utn   restructuration du hameau des boisses et evaluation environnementale dans le cadre de la realisation du plu de la commune de tignes;environnement
J0O3BP1P3T;enquetes qualitatives d'evaluation des relogements pru val d'argent a argenteuil;logement
Q9EFFDOJ5O;evaluation du contrat urbain de cohesion sociale c u c s  de la commune de fontenay sous bois;social
OYSGYKN8GQ;etude pour la mise en place d'un systeme d'auto evaluation sur la responsabilite societale des entreprises rse a dijon cedex;fiscalité-économie
ZXBORUFNTL;realisation d'une evaluation environnementale du plan d'occupation des sols de la ville de calais;environnement
G9POY6Z55K;evaluation operationnelle d'actions determinees du contrat urbain de cohesion socialr;social
GCZPON594C;evaluation  du point de vue du developpement durable  des operations d'amenagement urbain de la ville de paris;urbanité-transports
JHRLXQG3ZF;prestation d'aide au recrutement et ou evaluation de personnels a saint etienne;social
DYJDTZHLF2;evaluation environnementale a ustaritz;environnement
IRMNBROU9C;realisation de l'evaluation environnemental du plu a ajaccio;environnement
JWB9XUKNRR;procedure adaptee restreinte passee en application de l'article 28 du cmp : evaluation des dispositifs d'accompagnement a la creation d'entreprises ;fiscalité-économie
SQTK7XPI02;realisation de l'evaluation du programme regional prevention sante seniors a dijon cedex;santé
QVLWGJJN48;evaluation de l'aide regionale aux filieres economiques a rouen;social
D1BV05S5PV;evaluation du volet emploi   insertion du contrat et projet urbains de cohesion sociale de la communaute d'agglomeration a dijon cedex;social
YOZMKCV2Z8;recherche evaluative du dispositif de mise en oeuvre du module de formation national a la prevention des tms du membre superieur en viticulture  pour la ccmsa a bagnolet;culture
LP5MJR8D9S;evaluation de la faune benthique invertebree  des peuplements de diatomees benthiques  pour les besoins du conseil general d'ille et vilaine;santé
VACEV4HD4S;elaboration de l'evaluation environnementale du plan local d'urbanisme a martigues;environnement
T2DFA5CTQD;evaluation intermediaire du plan local pour l'insertion et l'emploi plie de l'agglomeration toulousaine a toulouse;emploi-insertion
NJ63QVVDBP;mission d'assistance et de conseil a caractere technique  economique et financiere pour l'evaluation d'un projet de construction d'un ensemble a vocation principale scolaire et educative a thiais;éducation-recherche
XQD07YGRTS;realisation de l'evaluation environnementale du plan regional d'elimination des dechets dangereux en region franche comte;environnement
NPELN5XWUK;eco quartier de la salade   mission d'assistance a la maitrise d'ouvrage en terme de developpement durable pour la conception  la realisation  le suivi et l'evaluation de l'operation a toulouse;environnement
ILM361EIB0;realisation de l'evaluation environnementale du scot de l'agglomeration de nice cote d'azur;environnement
PDX9NJL1MQ;mise en oeuvre de veille reglementaire et de suivi de l'evaluation reglementaire des installations du ceg dans le domaine de l'hygiene  la sante et la securite au travail  et l'environnement;santé
C4VJTQLK5Y;mission d'evaluation de l'experimentation d'une nouvelle forme d'intervention au sein des unites territoriales de prevention et d'action sociale de la ville de lille;social
592GMXUJMA;evaluation des aides regionales aux opca;social
U66GJ1ORTN;evaluation conventions departementales relatives a la modernisation et a la professionnalisation du secteur de l'aide a domicile;social
Y8TOSQRA6H;evaluation des missions et de l'organisation de la sosu direction de l'amenagement de la mairie de paris et propositions d'evolutions et accompagnement au changement;urbanité-transports
ICNP5H9325;evaluation du projet urbain de cohesion sociale;social
EGB6R2PGDO;09 rn 20   amenagement a 2x2 voies entre tarascon et ax les thermes   realisation des etudes d'evaluation des incidences natura 2000 a ax les thermes;urbanité-transports
COV19GN030;marche de services portant sur l'evaluation qualitative du processus de mobilisation de contrats aides et des modalites de suivi des beneficiaires de ces contrats par pole emploi a paris;social
SVN43DWRQ0;evaluation et bilan a mi parcours du plan de deplacements urbains 2005 2015 a angers;urbanité-transports
N3CCCJHLKN;evaluation environnementaledans le cadre de la revision du pos pour transformation en plu a saint maurice de lignon;environnement
BEUWHAS1OR;evaluation environnementale du schema de coherence territoriale a roanne;environnement
W9TXH8VR7U;assistance a maitrise d'ouvrage pour l'evaluation de l'accessibilite aux personnes en situation de handicap  des batiments propriete du departement de la drome  a valence;santé
N9Z54JUQKJ;marche d'etudes relatif a l'evaluation environnementale du projet de revision du plu;environnement
WZGMBUXRT8;etude prospective : evaluation des besoins en equipements publics et analyse des conditions de deplacement sur le chef lieu de chambery le vieux  l'objet de cette etude est d'apporter un ecl;santé
R8CC1RVRYB;assistance methodologique pour la mise en oeuvre d'une mission d'evaluation des aspects humains du dispositifs departemental de renovation humaine pacte a nanterre ;logement
CWRZR3F9YF;evaluation de la plus value medico economique du modele organisationnel des reseaux de sante a paris;santé
7BNOZPNFZ7;evaluation de la plus value medico economique du modele organisationnel des reseaux de sante  pour la c n a m t s a paris rectificatif;santé
JMBPL44HGG;evaluation du contrat de projets etat region et du programme operationnel competitivite regionale et emploi feder  relative a : innovation  recherche et transfert de technologie a besancon;emploi-insertion
6LROXEHS8H;le tourisme rural : une economie en progression mais mal mesuree : etat des lieux et evaluation des attentes des clienteles potentielles;social
1J6ECGFCOF;recensement des demarches d'evaluation au sein du ministere du travail  de la solidarite et de la fonction publique et du ministere de la sante et des sports a paris;santé
I2C2M0CPYQ;realisation d'une etude evaluation sur les retombees artistiques  economiques  sociales et territoriales des manifestations culturelles en aquitaine hors periode estivale a bordeaux;culture
VU5FHXOP3C;bilan et evaluation de la production de logements sociaux en vefa dans le rhone a lyon cedex 03;logement
WN1Y4KNTMX;evaluation des dispositifs d'aide aux entreprises : aide regionale a l'emploi et aide regionale a l'immobilier a rouen cedex 1;social
LWIUTKYKPQ;le marche a pour objet l'evaluation d'une action collective regionale sur les groupements d'entreprises dans la region nord pas de calais;fiscalité-économie
W5M711SX9P;evaluation de trois politiques publiques de la ville a bordeaux;environnement
DTV37GXVP4;realisation d'une etude portant sur l'evaluation d'une serie devenements franco americains organises a new york en 2011 autour des sciences humaines et sociales  lieu : paris et new yor;social
X3ZG4G8XJ5;evaluation environnementale et approche environnementale du plu et du pdu de la communaute urbaine de bordeaux;environnement
9ILFXQ2MPC;mission d' evaluation du relogement mene dans le cadre du pdru a cayenne;logement
9D1JOIVATV;evaluation des interventions de l'agence de l'eau loire bretagne en faveur des economies d'eau a orleans;environnement
5OMH050Q2K;evaluation des missions et de l'organisation de la sous direction de l'amenagement sda  propositions d'evolutions et accompagnement au changement a paris;urbanité-transports
76C2U2Q8RH;evaluation des projets collaboratifs de recherche entre organismes de recherche et entreprises pour une meilleure prise en compte du por et du cper a rouen cedex;fiscalité-économie
DZUCNDG5GF;evaluation du contrat urbain de cohesion sociale 2007 2009 du grand narbonne;social
QPJ28FONSN;prestations de formation et d'evaluation du plan local pour l'insertion et l'emploi de laval agglomeration a laval;emploi-insertion
TSAQDL8CBR;etude prealable a la revision du plan departemental d'elimination des dechets menagers et assimiles et evaluation environnementale pour le conseil general a arras;environnement
P104WMW3XB;mission d'assistance a l'evaluation du contrat urbain de cohesion sociale de la courneuve a saint denis;social
H2P5HT2KT9;evaluation intermediaire du plan local pour l'insertion et l'emploi 2008   2013 de toursplus;emploi-insertion
GR9U76QM8N;evaluation a mi parcours du projet fsp 03 91  recherche interdisciplinaire et participative sur les interactions entre les ecosystemes  le climat et les societes d'afrique de l'ouest  ;environnement
NSOKHD5TKB;mission d'evaluation des pratiques experimentales dans le cadre des plans regionaux des metiers au service des personnes handicapees et des personnes agees dependantes a strasbourg;santé
DLDBLQBKRI;etude sur l'evaluation de la convention cadre relative a l'education a l'environnement pour un developpement durable en pays de la loire a nantes;environnement
C6EDLUL60G;realisation du bilan du 3eme programme d'actions nitrates de la zone vulnerable de la piege aude et evaluation environnementale du 4eme programme d'action  a carcassonne cedex 9;environnement
QV76UJ3A6Z;etude evaluative des besoins d'accompagnement des adultes relais  mediateurs de ville dans les demarches de vae a paris;santé
T06VKXTGNC;conception  realisation  gestion  promotion et evaluation d'un concours a destination des enfants sur le theme de l'eau et du developpement durable pour les besoins du s e d i f  a paris;santé
KDZDUUD5OH;plan climat energie limoges metropole : elaboration d'un plan d'actions concerte et d'un dispositif de suivi et d'evaluation  a limoges;environnement
H920GSAGE9;evaluation des actions des maisons de l'emploi sud sarthe  sarthe nord et sarthe centre pour le conseil general au mans;emploi-insertion
J6P8ZSQ366;realisation de l'evaluation environnementale du plan de deplacements urbains d'ile de france dont la revision est pilotee par le stif;urbanité-transports
YCJ73QO5D4;realisation d'une evaluation par etude de l'image du dispositif techno com et du niveau de satisfaction des entreprises beneficiaires  par un cabinet conseil;fiscalité-économie
